report_date,period_end,ticker,revenue,gross_profit,operating_income,net_income,book_value,total_assets,total_liabilities,operating_cash_flow,capital_expenditure,shares_outstanding
2022-02-04,2021-12-31,ALFA,520000000.0,286000000.0,117000000.0,88400000.0,1650000000.0,2392500000.0,742500000.0,101660000.0,18200000.0,22000000
2022-05-05,2022-03-31,ALFA,544650670.62,299557868.84,122546400.89,92590614.01,1674750000.0,2428387500.0,753637500.0,106479206.11,19062773.47,22000000
2022-08-04,2022-06-30,ALFA,568755261.82,312815394.0,127969933.91,96688394.51,1699500000.0,2464275000.0,764775000.0,111191653.69,19906434.16,22000000
2022-11-04,2022-09-30,ALFA,590910521.78,325000786.98,132954867.4,100454788.7,1724250000.0,2500162500.0,775912500.0,115523007.01,20681868.26,22000000
2023-02-04,2022-12-31,ALFA,610276676.58,335652172.12,137312252.23,103747035.02,1749000000.0,2536050000.0,787050000.0,119309090.27,21359683.68,22000000
2023-05-05,2023-03-31,ALFA,626837242.14,344760483.18,141038379.48,106562331.16,1773750000.0,2571937500.0,798187500.0,122546680.84,21939303.48,22000000
2023-08-04,2023-06-30,ALFA,641467912.48,352807351.86,144330280.31,109049545.12,1798500000.0,2607825000.0,809325000.0,125406976.89,22451376.94,22000000
2023-11-04,2023-09-30,ALFA,655783391.7,360680865.43,147551263.13,111483176.59,1823250000.0,2643712500.0,820462500.0,128205653.08,22952418.71,22000000
2024-02-04,2023-12-31,ALFA,671785362.48,369481949.36,151151706.56,114203511.62,1848000000.0,2679600000.0,831600000.0,131334038.36,23512487.69,22000000
2024-05-05,2024-03-31,ALFA,691387071.96,380262889.58,155562091.19,117535802.23,1872750000.0,2715487500.0,842737500.0,135166172.57,24198547.52,22000000
2024-08-04,2024-06-30,ALFA,715926809.41,393759745.18,161083532.12,121707557.6,1897500000.0,2751375000.0,853875000.0,139963691.24,25057438.33,22000000
2022-02-04,2021-12-31,BRAV,780000000.0,312000000.0,120900000.0,78000000.0,2100000000.0,3570000000.0,1470000000.0,89700000.0,27300000.0,38000000
2022-05-05,2022-03-31,BRAV,803557076.37,321422830.55,124551346.84,80355707.64,2131500000.0,3623550000.0,1492050000.0,92409063.78,28124497.67,38000000
2022-08-04,2022-06-30,BRAV,825337433.25,330134973.3,127927302.15,82533743.32,2163000000.0,3677100000.0,1514100000.0,94913804.82,28886810.16,38000000
2022-11-04,2022-09-30,BRAV,843403243.38,337361297.35,130727502.72,84340324.34,2194500000.0,3730650000.0,1536150000.0,96991372.99,29519113.52,38000000
2023-02-04,2022-12-31,BRAV,856737436.28,342694974.51,132794302.62,85673743.63,2226000000.0,3784200000.0,1558200000.0,98524805.17,29985810.27,38000000
2023-05-05,2023-03-31,BRAV,865532124.13,346212849.65,134157479.24,86553212.41,2257500000.0,3837750000.0,1580250000.0,99536194.27,30293624.34,38000000
2023-08-04,2023-06-30,BRAV,871185754.47,348474301.79,135033791.94,87118575.45,2289000000.0,3891300000.0,1602300000.0,100186361.76,30491501.41,38000000
2023-11-04,2023-09-30,BRAV,875999120.39,350399648.16,135779863.66,87599912.04,2320500000.0,3944850000.0,1624350000.0,100739898.85,30659969.21,38000000
2024-02-04,2023-12-31,BRAV,882635155.53,353054062.21,136808449.11,88263515.55,2352000000.0,3998400000.0,1646400000.0,101503042.89,30892230.44,38000000
2024-05-05,2024-03-31,BRAV,893468750.54,357387500.22,138487656.33,89346875.05,2383500000.0,4051950000.0,1668450000.0,102748906.31,31271406.27,38000000
2024-08-04,2024-06-30,BRAV,909984860.41,363993944.16,141047653.36,90998486.04,2415000000.0,4105500000.0,1690500000.0,104648258.95,31849470.11,38000000
2022-02-04,2021-12-31,CHAR,430000000.0,137600000.0,40850000.0,17200000.0,1200000000.0,2520000000.0,1320000000.0,19780000.0,15050000.0,31000000
2022-05-05,2022-03-31,CHAR,432542901.59,138413728.51,41091575.65,17301716.06,1218000000.0,2557800000.0,1339800000.0,19896973.47,15139001.56,31000000
2022-08-04,2022-06-30,CHAR,433793068.98,138813782.07,41210341.55,17351722.76,1236000000.0,2595600000.0,1359600000.0,19954481.17,15182757.41,31000000
