date,fed_funds_rate,cpi_yoy,unemployment_rate
2023-01-01,4.25,3.8,3.7
2023-02-01,4.275,3.765,3.7058
2023-03-01,4.3,3.73,3.7108
2023-04-01,4.325,3.695,3.714
2023-05-01,4.35,3.66,3.715
2023-06-01,4.375,3.625,3.7136
2023-07-01,4.4,3.59,3.7101
2023-08-01,4.425,3.555,3.705
2023-09-01,4.45,3.52,3.6991
2023-10-01,4.475,3.485,3.6934
2023-11-01,4.5,3.45,3.6886
2023-12-01,4.525,3.415,3.6857
2024-01-01,4.55,3.38,3.6851
2024-02-01,4.575,3.345,3.6867
2024-03-01,4.6,3.31,3.6905
2024-04-01,4.625,3.275,3.6958
2024-05-01,4.65,3.24,3.7017
2024-06-01,4.675,3.205,3.7074
2024-07-01,4.7,3.17,3.7119
2024-08-01,4.725,3.135,3.7145
