date,ticker,open,high,low,close,adj_close,volume
2024-01-02,ALFA,99.7987,101.5038,99.0966,100.3002,100.3002,1200000
2024-01-03,ALFA,100.1284,101.8391,99.424,100.6315,100.6315,1210644
2024-01-04,ALFA,100.4875,102.2044,99.7806,100.9925,100.9925,1221158
2024-01-05,ALFA,100.8739,102.5974,100.1643,101.3809,101.3809,1231410
2024-01-08,ALFA,101.2848,103.0153,100.5722,101.7937,101.7937,1241275
2024-01-09,ALFA,101.7165,103.4544,101.001,102.2277,102.2277,1250631
2024-01-10,ALFA,102.1653,103.9108,101.4465,102.6787,102.6787,1259363
2024-01-11,ALFA,102.6265,104.3799,101.9045,103.1422,103.1422,1267362
2024-01-12,ALFA,103.0952,104.8566,102.3699,103.6132,103.6132,1274531
2024-01-15,ALFA,103.5661,105.3356,102.8375,104.0865,104.0865,1280781
2024-01-16,ALFA,104.0337,105.8112,103.3018,104.5565,104.5565,1286034
2024-01-17,ALFA,104.4924,106.2777,103.7572,105.0175,105.0175,1290226
2024-01-18,ALFA,104.9363,106.7292,104.198,105.4636,105.4636,1293306
2024-01-19,ALFA,105.3598,107.1599,104.6186,105.8893,105.8893,1295234
2024-01-22,ALFA,105.7576,107.5645,105.0135,106.289,106.289,1295988
2024-01-23,ALFA,106.1243,107.9375,105.3777,106.6576,106.6576,1295559
2024-01-24,ALFA,106.4555,108.2744,105.7066,106.9905,106.9905,1293950
2024-01-25,ALFA,106.7469,108.5708,105.996,107.2834,107.2834,1291184
2024-01-26,ALFA,106.9951,108.8232,106.2424,107.5328,107.5328,1287292
2024-01-29,ALFA,107.1974,109.0289,106.4433,107.7361,107.7361,1282324
2024-01-30,ALFA,107.3519,109.1861,106.5967,107.8914,107.8914,1276341
2024-01-31,ALFA,107.4576,109.2935,106.7016,107.9976,107.9976,1269416
2024-02-01,ALFA,107.5143,109.3513,106.758,108.0546,108.0546,1261635
2024-02-02,ALFA,107.5231,109.3601,106.7666,108.0634,108.0634,1253094
2024-02-05,ALFA,107.4856,109.322,106.7294,108.0257,108.0257,1243898
2024-02-06,ALFA,107.4045,109.2395,106.6489,107.9442,107.9442,1234160
2024-02-07,ALFA,107.2833,109.1163,106.5286,107.8224,107.8224,1224002
2024-02-08,ALFA,107.1265,108.9568,106.3728,107.6648,107.6648,1213547
2024-02-09,ALFA,106.9388,108.7659,106.1865,107.4762,107.4762,1202925
2024-02-12,ALFA,106.726,108.5494,105.9751,107.2623,107.2623,1192267
2024-02-13,ALFA,106.4939,108.3134,105.7447,107.0291,107.0291,1181705
2024-02-14,ALFA,106.2491,108.0644,105.5017,106.7831,106.7831,1171368
2024-02-15,ALFA,105.9981,107.8092,105.2524,106.5308,106.5308,1161384
2024-02-16,ALFA,105.7476,107.5544,105.0037,106.279,106.279,1151877
2024-02-19,ALFA,105.5043,107.3069,104.7621,106.0345,106.0345,1142963
2024-02-20,ALFA,105.2747,107.0733,104.5341,105.8037,105.8037,1134752
2024-02-21,ALFA,105.065,106.86,104.3258,105.5929,105.5929,1127346
2024-02-22,ALFA,104.8811,106.673,104.1432,105.4081,105.4081,1120837
2024-02-23,ALFA,104.7284,106.5178,103.9917,105.2547,105.2547,1115303
2024-02-26,ALFA,104.6119,106.3993,103.876,105.1376,105.1376,1110814
2024-02-27,ALFA,104.5359,106.3219,103.8004,105.0612,105.0612,1107425
2024-02-28,ALFA,104.5038,106.2893,103.7686,105.029,105.029,1105178
2024-02-29,ALFA,104.5187,106.3044,103.7834,105.0439,105.0439,1104100
2024-03-01,ALFA,104.5827,106.3695,103.8469,105.1082,105.1082,1104205
2024-03-04,ALFA,104.697,106.4858,103.9605,105.2232,105.2232,1105491
2024-03-05,ALFA,104.8624,106.654,104.1247,105.3894,105.3894,1107943
2024-03-06,ALFA,105.0786,106.8739,104.3394,105.6066,105.6066,1111530
2024-03-07,ALFA,105.3445,107.1444,104.6034,105.8739,105.8739,1116208
2024-03-08,ALFA,105.6584,107.4636,104.9151,106.1894,106.1894,1121920
2024-03-11,ALFA,106.0178,107.8291,105.2719,106.5505,106.5505,1128594
2024-03-12,ALFA,106.4193,108.2375,105.6706,106.954,106.954,1136150
2024-03-13,ALFA,106.8591,108.6848,106.1073,107.396,107.396,1144492
2024-03-14,ALFA,107.3326,109.1664,106.5775,107.872,107.872,1153520
2024-03-15,ALFA,107.8349,109.6773,107.0762,108.3767,108.3767,1163120
2024-03-18,ALFA,108.3603,110.2117,107.598,108.9048,108.9048,1173176
2024-03-19,ALFA,108.9031,110.7638,108.137,109.4504,109.4504,1183562
2024-03-20,ALFA,109.4571,111.3273,108.6871,110.0072,110.0072,1194151
2024-03-21,ALFA,110.0161,111.8957,109.2421,110.5689,110.5689,1204812
2024-03-22,ALFA,110.5736,112.4628,109.7957,111.1292,111.1292,1215413
2024-03-25,ALFA,111.1234,113.022,110.3417,111.6818,111.6818,1225825
2024-03-26,ALFA,111.6595,113.5673,110.874,112.2206,112.2206,1235918
2024-03-27,ALFA,112.1762,114.0927,111.387,112.7399,112.7399,1245568
2024-03-28,ALFA,112.668,114.593,111.8753,113.2342,113.2342,1254656
2024-03-29,ALFA,113.1302,115.0631,112.3343,113.6987,113.6987,1263070
2024-04-01,ALFA,113.5587,115.4989,112.7598,114.1294,114.1294,1270706
2024-04-02,ALFA,113.9501,115.897,113.1485,114.5227,114.5227,1277471
2024-04-03,ALFA,114.3017,116.2546,113.4976,114.8761,114.8761,1283279
2024-04-04,ALFA,114.6118,116.57,113.8055,115.1877,115.1877,1288061
2024-04-05,ALFA,114.8794,116.8422,114.0712,115.4567,115.4567,1291756
2024-04-08,ALFA,115.1046,117.0712,114.2948,115.683,115.683,1294320
